cbsa_code,short_name,name,primary_state_fips,primary_state_abbr,states
10180,Abilene,"Abilene, TX",48,TX,TX
10380,Aguadilla,"Aguadilla, PR",72,PR,PR
10420,Akron,"Akron, OH",39,OH,OH
10500,Albany,"Albany, GA",13,GA,GA
10540,Albany,"Albany, OR",41,OR,OR
10580,Albany-Schenectady-Troy,"Albany-Schenectady-Troy, NY",36,NY,NY
10740,Albuquerque,"Albuquerque, NM",35,NM,NM
10780,Alexandria,"Alexandria, LA",22,LA,LA
10900,Allentown-Bethlehem-Easton,"Allentown-Bethlehem-Easton, PA-NJ",42,PA,PA|NJ
11020,Altoona,"Altoona, PA",42,PA,PA
11100,Amarillo,"Amarillo, TX",48,TX,TX
11180,Ames,"Ames, IA",19,IA,IA
11200,Amherst Town-Northampton,"Amherst Town-Northampton, MA",25,MA,MA
11260,Anchorage,"Anchorage, AK",02,AK,AK
11460,Ann Arbor,"Ann Arbor, MI",26,MI,MI
11500,Anniston-Oxford,"Anniston-Oxford, AL",01,AL,AL
11540,Appleton,"Appleton, WI",55,WI,WI
11640,Arecibo,"Arecibo, PR",72,PR,PR
11700,Asheville,"Asheville, NC",37,NC,NC
12020,Athens-Clarke County,"Athens-Clarke County, GA",13,GA,GA
12060,Atlanta-Sandy Springs-Roswell,"Atlanta-Sandy Springs-Roswell, GA",13,GA,GA
12100,Atlantic City-Hammonton,"Atlantic City-Hammonton, NJ",34,NJ,NJ
12220,Auburn-Opelika,"Auburn-Opelika, AL",01,AL,AL
12260,Augusta-Richmond County,"Augusta-Richmond County, GA-SC",13,GA,GA|SC
12420,Austin-Round Rock-San Marcos,"Austin-Round Rock-San Marcos, TX",48,TX,TX
12540,Bakersfield-Delano,"Bakersfield-Delano, CA",06,CA,CA
12580,Baltimore-Columbia-Towson,"Baltimore-Columbia-Towson, MD",24,MD,MD
12620,Bangor,"Bangor, ME",23,ME,ME
12700,Barnstable Town,"Barnstable Town, MA",25,MA,MA
12940,Baton Rouge,"Baton Rouge, LA",22,LA,LA
12980,Battle Creek,"Battle Creek, MI",26,MI,MI
13020,Bay City,"Bay City, MI",26,MI,MI
13140,Beaumont-Port Arthur,"Beaumont-Port Arthur, TX",48,TX,TX
13220,Beckley,"Beckley, WV",54,WV,WV
13380,Bellingham,"Bellingham, WA",53,WA,WA
13460,Bend,"Bend, OR",41,OR,OR
13740,Billings,"Billings, MT",30,MT,MT
13780,Binghamton,"Binghamton, NY",36,NY,NY
13820,Birmingham,"Birmingham, AL",01,AL,AL
13900,Bismarck,"Bismarck, ND",38,ND,ND
13980,Blacksburg-Christiansburg-Radford,"Blacksburg-Christiansburg-Radford, VA",51,VA,VA
14010,Bloomington,"Bloomington, IL",17,IL,IL
14020,Bloomington,"Bloomington, IN",18,IN,IN
14260,Boise City,"Boise City, ID",16,ID,ID
14460,Boston-Cambridge-Newton,"Boston-Cambridge-Newton, MA-NH",25,MA,MA|NH
14500,Boulder,"Boulder, CO",08,CO,CO
14540,Bowling Green,"Bowling Green, KY",21,KY,KY
14580,Bozeman,"Bozeman, MT",30,MT,MT
14740,Bremerton-Silverdale-Port Orchard,"Bremerton-Silverdale-Port Orchard, WA",53,WA,WA
14860,Bridgeport-Stamford-Danbury,"Bridgeport-Stamford-Danbury, CT",09,CT,CT
15180,Brownsville-Harlingen,"Brownsville-Harlingen, TX",48,TX,TX
15260,Brunswick-St. Simons,"Brunswick-St. Simons, GA",13,GA,GA
15380,Buffalo-Cheektowaga,"Buffalo-Cheektowaga, NY",36,NY,NY
15500,Burlington,"Burlington, NC",37,NC,NC
15540,Burlington-South Burlington,"Burlington-South Burlington, VT",50,VT,VT
15940,Canton-Massillon,"Canton-Massillon, OH",39,OH,OH
15980,Cape Coral-Fort Myers,"Cape Coral-Fort Myers, FL",12,FL,FL
16020,Cape Girardeau,"Cape Girardeau, MO-IL",29,MO,MO|IL
16180,Carson City,"Carson City, NV",32,NV,NV
16220,Casper,"Casper, WY",56,WY,WY
16300,Cedar Rapids,"Cedar Rapids, IA",19,IA,IA
16540,Chambersburg,"Chambersburg, PA",42,PA,PA
16580,Champaign-Urbana,"Champaign-Urbana, IL",17,IL,IL
16620,Charleston,"Charleston, WV",54,WV,WV
16700,Charleston-North Charleston,"Charleston-North Charleston, SC",45,SC,SC
16740,Charlotte-Concord-Gastonia,"Charlotte-Concord-Gastonia, NC-SC",37,NC,NC|SC
16820,Charlottesville,"Charlottesville, VA",51,VA,VA
16860,Chattanooga,"Chattanooga, TN-GA",47,TN,TN|GA
16940,Cheyenne,"Cheyenne, WY",56,WY,WY
16980,Chicago-Naperville-Elgin,"Chicago-Naperville-Elgin, IL-IN",17,IL,IL|IN
17020,Chico,"Chico, CA",06,CA,CA
17140,Cincinnati,"Cincinnati, OH-KY-IN",39,OH,OH|KY|IN
17300,Clarksville,"Clarksville, TN-KY",47,TN,TN|KY
17410,Cleveland,"Cleveland, OH",39,OH,OH
17420,Cleveland,"Cleveland, TN",47,TN,TN
17660,Coeur d'Alene,"Coeur d'Alene, ID",16,ID,ID
17780,College Station-Bryan,"College Station-Bryan, TX",48,TX,TX
17820,Colorado Springs,"Colorado Springs, CO",08,CO,CO
17860,Columbia,"Columbia, MO",29,MO,MO
17900,Columbia,"Columbia, SC",45,SC,SC
17980,Columbus,"Columbus, GA-AL",13,GA,GA|AL
18020,Columbus,"Columbus, IN",18,IN,IN
18140,Columbus,"Columbus, OH",39,OH,OH
18580,Corpus Christi,"Corpus Christi, TX",48,TX,TX
18700,Corvallis,"Corvallis, OR",41,OR,OR
18880,Crestview-Fort Walton Beach-Destin,"Crestview-Fort Walton Beach-Destin, FL",12,FL,FL
19100,Dallas-Fort Worth-Arlington,"Dallas-Fort Worth-Arlington, TX",48,TX,TX
19140,Dalton,"Dalton, GA",13,GA,GA
19300,Daphne-Fairhope-Foley,"Daphne-Fairhope-Foley, AL",01,AL,AL
19340,Davenport-Moline-Rock Island,"Davenport-Moline-Rock Island, IA-IL",19,IA,IA|IL
19430,Dayton-Kettering-Beavercreek,"Dayton-Kettering-Beavercreek, OH",39,OH,OH
19460,Decatur,"Decatur, AL",01,AL,AL
19500,Decatur,"Decatur, IL",17,IL,IL
19660,Deltona-Daytona Beach-Ormond Beach,"Deltona-Daytona Beach-Ormond Beach, FL",12,FL,FL
19740,Denver-Aurora-Centennial,"Denver-Aurora-Centennial, CO",08,CO,CO
19780,Des Moines-West Des Moines,"Des Moines-West Des Moines, IA",19,IA,IA
19820,Detroit-Warren-Dearborn,"Detroit-Warren-Dearborn, MI",26,MI,MI
20020,Dothan,"Dothan, AL",01,AL,AL
20100,Dover,"Dover, DE",10,DE,DE
20220,Dubuque,"Dubuque, IA",19,IA,IA
20260,Duluth,"Duluth, MN-WI",27,MN,MN|WI
20500,Durham-Chapel Hill,"Durham-Chapel Hill, NC",37,NC,NC
20580,Eagle Pass,"Eagle Pass, TX",48,TX,TX
20740,Eau Claire,"Eau Claire, WI",55,WI,WI
20940,El Centro,"El Centro, CA",06,CA,CA
21060,Elizabethtown,"Elizabethtown, KY",21,KY,KY
21140,Elkhart-Goshen,"Elkhart-Goshen, IN",18,IN,IN
21300,Elmira,"Elmira, NY",36,NY,NY
21340,El Paso,"El Paso, TX",48,TX,TX
21420,Enid,"Enid, OK",40,OK,OK
21500,Erie,"Erie, PA",42,PA,PA
21660,Eugene-Springfield,"Eugene-Springfield, OR",41,OR,OR
21780,Evansville,"Evansville, IN",18,IN,IN
21820,Fairbanks-College,"Fairbanks-College, AK",02,AK,AK
22020,Fargo,"Fargo, ND-MN",38,ND,ND|MN
22140,Farmington,"Farmington, NM",35,NM,NM
22180,Fayetteville,"Fayetteville, NC",37,NC,NC
22220,Fayetteville-Springdale-Rogers,"Fayetteville-Springdale-Rogers, AR",05,AR,AR
22380,Flagstaff,"Flagstaff, AZ",04,AZ,AZ
22420,Flint,"Flint, MI",26,MI,MI
22500,Florence,"Florence, SC",45,SC,SC
