county_fips,cbsa_code,county_name,state_abbr
48059,10180,Callahan County,TX
48253,10180,Jones County,TX
48441,10180,Taylor County,TX
72003,10380,Aguada Municipio,PR
72005,10380,Aguadilla Municipio,PR
72011,10380,Añasco Municipio,PR
72071,10380,Isabela Municipio,PR
72099,10380,Moca Municipio,PR
72117,10380,Rincón Municipio,PR
72131,10380,San Sebastián Municipio,PR
39133,10420,Portage County,OH
39153,10420,Summit County,OH
13095,10500,Dougherty County,GA
13177,10500,Lee County,GA
13273,10500,Terrell County,GA
13321,10500,Worth County,GA
41043,10540,Linn County,OR
36001,10580,Albany County,NY
36083,10580,Rensselaer County,NY
36091,10580,Saratoga County,NY
36093,10580,Schenectady County,NY
36095,10580,Schoharie County,NY
35001,10740,Bernalillo County,NM
35043,10740,Sandoval County,NM
35057,10740,Torrance County,NM
35061,10740,Valencia County,NM
22043,10780,Grant Parish,LA
22079,10780,Rapides Parish,LA
34041,10900,Warren County,NJ
42025,10900,Carbon County,PA
42077,10900,Lehigh County,PA
42095,10900,Northampton County,PA
42013,11020,Blair County,PA
48011,11100,Armstrong County,TX
48065,11100,Carson County,TX
48359,11100,Oldham County,TX
48375,11100,Potter County,TX
48381,11100,Randall County,TX
19015,11180,Boone County,IA
19169,11180,Story County,IA
25015,11200,Hampshire County,MA
02020,11260,Anchorage Municipality,AK
02170,11260,Matanuska-Susitna Borough,AK
26161,11460,Washtenaw County,MI
01015,11500,Calhoun County,AL
55015,11540,Calumet County,WI
55087,11540,Outagamie County,WI
72013,11640,Arecibo Municipio,PR
72027,11640,Camuy Municipio,PR
72065,11640,Hatillo Municipio,PR
72115,11640,Quebradillas Municipio,PR
37021,11700,Buncombe County,NC
37089,11700,Henderson County,NC
37115,11700,Madison County,NC
13059,12020,Clarke County,GA
13195,12020,Madison County,GA
13219,12020,Oconee County,GA
13221,12020,Oglethorpe County,GA
13013,12060,Barrow County,GA
13035,12060,Butts County,GA
13045,12060,Carroll County,GA
13063,12060,Clayton County,GA
13077,12060,Coweta County,GA
13085,12060,Dawson County,GA
13089,12060,DeKalb County,GA
13097,12060,Douglas County,GA
13113,12060,Fayette County,GA
13117,12060,Forsyth County,GA
13121,12060,Fulton County,GA
13135,12060,Gwinnett County,GA
13149,12060,Heard County,GA
13151,12060,Henry County,GA
13159,12060,Jasper County,GA
13187,12060,Lumpkin County,GA
13199,12060,Meriwether County,GA
13211,12060,Morgan County,GA
13217,12060,Newton County,GA
13227,12060,Pickens County,GA
13231,12060,Pike County,GA
13247,12060,Rockdale County,GA
13255,12060,Spalding County,GA
13297,12060,Walton County,GA
13015,12060,Bartow County,GA
13057,12060,Cherokee County,GA
13067,12060,Cobb County,GA
13143,12060,Haralson County,GA
13223,12060,Paulding County,GA
34001,12100,Atlantic County,NJ
34009,12100,Cape May County,NJ
01081,12220,Lee County,AL
01087,12220,Macon County,AL
13033,12260,Burke County,GA
13073,12260,Columbia County,GA
13181,12260,Lincoln County,GA
13189,12260,McDuffie County,GA
13245,12260,Richmond County,GA
45003,12260,Aiken County,SC
45037,12260,Edgefield County,SC
48021,12420,Bastrop County,TX
48055,12420,Caldwell County,TX
48209,12420,Hays County,TX
48453,12420,Travis County,TX
48491,12420,Williamson County,TX
06029,12540,Kern County,CA
24003,12580,Anne Arundel County,MD
24005,12580,Baltimore County,MD
24013,12580,Carroll County,MD
24025,12580,Harford County,MD
24027,12580,Howard County,MD
24035,12580,Queen Anne's County,MD
24510,12580,Baltimore city,MD
23019,12620,Penobscot County,ME
25001,12700,Barnstable County,MA
22005,12940,Ascension Parish,LA
22007,12940,Assumption Parish,LA
22033,12940,East Baton Rouge Parish,LA
22037,12940,East Feliciana Parish,LA
22047,12940,Iberville Parish,LA
22063,12940,Livingston Parish,LA
22077,12940,Pointe Coupee Parish,LA
22091,12940,St. Helena Parish,LA
22121,12940,West Baton Rouge Parish,LA
22125,12940,West Feliciana Parish,LA
26025,12980,Calhoun County,MI
26017,13020,Bay County,MI
48199,13140,Hardin County,TX
48245,13140,Jefferson County,TX
48361,13140,Orange County,TX
54019,13220,Fayette County,WV
54081,13220,Raleigh County,WV
53073,13380,Whatcom County,WA
41013,13460,Crook County,OR
41017,13460,Deschutes County,OR
41031,13460,Jefferson County,OR
30009,13740,Carbon County,MT
30095,13740,Stillwater County,MT
30111,13740,Yellowstone County,MT
36007,13780,Broome County,NY
36107,13780,Tioga County,NY
01007,13820,Bibb County,AL
01009,13820,Blount County,AL
01021,13820,Chilton County,AL
01073,13820,Jefferson County,AL
01115,13820,St. Clair County,AL
01117,13820,Shelby County,AL
01127,13820,Walker County,AL
38015,13900,Burleigh County,ND
38059,13900,Morton County,ND
38065,13900,Oliver County,ND
51063,13980,Floyd County,VA
51071,13980,Giles County,VA
51121,13980,Montgomery County,VA
51155,13980,Pulaski County,VA
51750,13980,Radford city,VA
17113,14010,McLean County,IL
18105,14020,Monroe County,IN
18119,14020,Owen County,IN
16001,14260,Ada County,ID
16015,14260,Boise County,ID
16027,14260,Canyon County,ID
16045,14260,Gem County,ID
16073,14260,Owyhee County,ID
25021,14460,Norfolk County,MA
25023,14460,Plymouth County,MA
25025,14460,Suffolk County,MA
25009,14460,Essex County,MA
25017,14460,Middlesex County,MA
33015,14460,Rockingham County,NH
33017,14460,Strafford County,NH
08013,14500,Boulder County,CO
21003,14540,Allen County,KY
21031,14540,Butler County,KY
21061,14540,Edmonson County,KY
21227,14540,Warren County,KY
30031,14580,Gallatin County,MT
53035,14740,Kitsap County,WA
09120,14860,Greater Bridgeport Planning Region,CT
09190,14860,Western Connecticut Planning Region,CT
48061,15180,Cameron County,TX
13025,15260,Brantley County,GA
13127,15260,Glynn County,GA
13191,15260,McIntosh County,GA
36029,15380,Erie County,NY
36063,15380,Niagara County,NY
37001,15500,Alamance County,NC
50007,15540,Chittenden County,VT
50011,15540,Franklin County,VT
50013,15540,Grand Isle County,VT
39019,15940,Carroll County,OH
39151,15940,Stark County,OH
12071,15980,Lee County,FL
17003,16020,Alexander County,IL
29017,16020,Bollinger County,MO
29031,16020,Cape Girardeau County,MO
32510,16180,Carson City,NV
56025,16220,Natrona County,WY
19011,16300,Benton County,IA
19105,16300,Jones County,IA
19113,16300,Linn County,IA
42055,16540,Franklin County,PA
17019,16580,Champaign County,IL
17053,16580,Ford County,IL
17147,16580,Piatt County,IL
54005,16620,Boone County,WV
54015,16620,Clay County,WV
54039,16620,Kanawha County,WV
45015,16700,Berkeley County,SC
45019,16700,Charleston County,SC
45035,16700,Dorchester County,SC
37007,16740,Anson County,NC
37025,16740,Cabarrus County,NC
37071,16740,Gaston County,NC
37097,16740,Iredell County,NC
37109,16740,Lincoln County,NC
37119,16740,Mecklenburg County,NC
37159,16740,Rowan County,NC
37179,16740,Union County,NC
45023,16740,Chester County,SC
45057,16740,Lancaster County,SC
45091,16740,York County,SC
51003,16820,Albemarle County,VA
51065,16820,Fluvanna County,VA
51079,16820,Greene County,VA
51125,16820,Nelson County,VA
51540,16820,Charlottesville city,VA
13047,16860,Catoosa County,GA
13083,16860,Dade County,GA
13295,16860,Walker County,GA
47065,16860,Hamilton County,TN
47115,16860,Marion County,TN
47153,16860,Sequatchie County,TN
56021,16940,Laramie County,WY
17031,16980,Cook County,IL
17043,16980,DuPage County,IL
17063,16980,Grundy County,IL
17111,16980,McHenry County,IL
17197,16980,Will County,IL
17037,16980,DeKalb County,IL
17089,16980,Kane County,IL
17093,16980,Kendall County,IL
17097,16980,Lake County,IL
18073,16980,Jasper County,IN
18089,16980,Lake County,IN
18111,16980,Newton County,IN
18127,16980,Porter County,IN
06007,17020,Butte County,CA
18029,17140,Dearborn County,IN
18047,17140,Franklin County,IN
18115,17140,Ohio County,IN
21015,17140,Boone County,KY
21023,17140,Bracken County,KY
21037,17140,Campbell County,KY
21077,17140,Gallatin County,KY
21081,17140,Grant County,KY
21117,17140,Kenton County,KY
21191,17140,Pendleton County,KY
39015,17140,Brown County,OH
39017,17140,Butler County,OH
39025,17140,Clermont County,OH
39061,17140,Hamilton County,OH
39165,17140,Warren County,OH
21047,17300,Christian County,KY
21221,17300,Trigg County,KY
47125,17300,Montgomery County,TN
47161,17300,Stewart County,TN
39007,17410,Ashtabula County,OH
39035,17410,Cuyahoga County,OH
39055,17410,Geauga County,OH
39085,17410,Lake County,OH
39093,17410,Lorain County,OH
39103,17410,Medina County,OH
47011,17420,Bradley County,TN
47139,17420,Polk County,TN
16055,17660,Kootenai County,ID
48041,17780,Brazos County,TX
48051,17780,Burleson County,TX
48395,17780,Robertson County,TX
08041,17820,El Paso County,CO
08119,17820,Teller County,CO
29019,17860,Boone County,MO
29053,17860,Cooper County,MO
29089,17860,Howard County,MO
45017,17900,Calhoun County,SC
45039,17900,Fairfield County,SC
45055,17900,Kershaw County,SC
45063,17900,Lexington County,SC
45079,17900,Richland County,SC
45081,17900,Saluda County,SC
01113,17980,Russell County,AL
13053,17980,Chattahoochee County,GA
13145,17980,Harris County,GA
13197,17980,Marion County,GA
13215,17980,Muscogee County,GA
13259,17980,Stewart County,GA
13263,17980,Talbot County,GA
18005,18020,Bartholomew County,IN
