tract_geoid,state_fips,cd_district,weight
01001020100,01,02,1.000000
01001020200,01,02,1.000000
01001020300,01,02,1.000000
01001020400,01,02,1.000000
01001020500,01,02,1.000000
01001020600,01,02,1.000000
01001020700,01,02,1.000000
01001020801,01,02,1.000000
01001020802,01,02,1.000000
01001020900,01,02,1.000000
01001021000,01,02,1.000000
01001021100,01,02,1.000000
01003010100,01,01,1.000000
01003010200,01,01,1.000000
01003010300,01,01,1.000000
01003010400,01,01,1.000000
01003010500,01,01,1.000000
01003010600,01,01,1.000000
01003010701,01,01,1.000000
01003010703,01,01,1.000000
01003010704,01,01,1.000000
01003010705,01,01,1.000000
01003010800,01,01,1.000000
01003010903,01,01,1.000000
01003010904,01,01,1.000000
01003010905,01,01,1.000000
01003010906,01,01,1.000000
01003011000,01,01,1.000000
01003011101,01,01,1.000000
01003011102,01,01,1.000000
01003011201,01,01,1.000000
01003011202,01,01,1.000000
01003011300,01,01,1.000000
01003011401,01,01,1.000000
01003011403,01,01,1.000000
01003011405,01,01,1.000000
01003011406,01,01,1.000000
01003011407,01,01,1.000000
01003011408,01,01,1.000000
01003011501,01,01,1.000000
01003011502,01,01,1.000000
01003011601,01,01,1.000000
01003011602,01,01,1.000000
01005950100,01,02,1.000000
01005950200,01,02,1.000000
01005950300,01,02,1.000000
01005950400,01,02,1.000000
01005950500,01,02,1.000000
01005950600,01,02,1.000000
01005950700,01,02,1.000000
01005950800,01,02,1.000000
01005950900,01,02,1.000000
01007010001,01,06,1.000000
01007010002,01,06,1.000000
01007010003,01,06,1.000000
01007010004,01,06,1.000000
01009050101,01,06,1.000000
01009050102,01,06,1.000000
01009050200,01,06,1.000000
01009050300,01,06,1.000000
01009050400,01,06,1.000000
01009050500,01,06,1.000000
01009050601,01,06,1.000000
01009050602,01,06,1.000000
01009050700,01,06,1.000000
01011952100,01,02,1.000000
01011952200,01,02,1.000000
01011952500,01,02,1.000000
01013952700,01,02,1.000000
01013952800,01,02,1.000000
01013952900,01,02,1.000000
01013953000,01,02,1.000000
01013953100,01,02,1.000000
01013953200,01,02,1.000000
01013953300,01,02,1.000000
01013953400,01,02,1.000000
01013953500,01,02,1.000000
01015000200,01,03,1.000000
01015000300,01,03,1.000000
01015000400,01,03,1.000000
01015000500,01,03,1.000000
01015000600,01,03,1.000000
01015000700,01,03,1.000000
01015000800,01,03,1.000000
01015000900,01,03,1.000000
01015001000,01,03,1.000000
01015001100,01,03,1.000000
01015001201,01,03,1.000000
01015001202,01,03,1.000000
01015001300,01,03,1.000000
01015001400,01,03,1.000000
01015001500,01,03,1.000000
01015001600,01,03,1.000000
01015001700,01,03,1.000000
01015001800,01,03,1.000000
01015002000,01,03,1.000000
01015002101,01,03,1.000000
01015002102,01,03,1.000000
01015002103,01,03,1.000000
01015002200,01,03,1.000000
01015002300,01,03,1.000000
01015002400,01,03,1.000000
01015002501,01,03,1.000000
01015002502,01,03,1.000000
01015002600,01,03,1.000000
01015981901,01,03,1.000000
01015981902,01,03,1.000000
01015981903,01,03,1.000000
01017953800,01,03,1.000000
01017953900,01,03,1.000000
01017954000,01,03,1.000000
01017954200,01,03,1.000000
01017954300,01,03,1.000000
01017954400,01,03,1.000000
01017954500,01,03,1.000000
01017954600,01,03,1.000000
01017954700,01,03,1.000000
01019955701,01,03,1.000000
01019955702,01,03,1.000000
01019955800,01,03,1.000000
01019955900,01,03,1.000000
01019956000,01,03,1.000000
01019956100,01,03,1.000000
01021060101,01,06,0.646072
01021060101,01,03,0.353928
01021060102,01,06,0.596403
01021060102,01,03,0.403597
01021060200,01,03,0.941450
01021060200,01,06,0.058550
01021060300,01,06,0.584341
01021060300,01,03,0.415659
01021060401,01,06,1.000000
01021060402,01,06,1.000000
01021060500,01,06,1.000000
01021060600,01,06,1.000000
01021060700,01,03,0.651340
01021060700,01,06,0.348660
01023956700,01,07,1.000000
01023956800,01,07,1.000000
01023956900,01,07,1.000000
01023957000,01,07,1.000000
01025957500,01,07,1.000000
01025957601,01,07,1.000000
01025957602,01,07,1.000000
01025957700,01,07,1.000000
01025957800,01,07,1.000000
01025957901,01,07,1.000000
01025957902,01,07,1.000000
01025958001,01,07,1.000000
01025958002,01,07,1.000000
01027958900,01,03,1.000000
01027959000,01,03,1.000000
01027959100,01,03,1.000000
01027959200,01,03,1.000000
01029959500,01,03,1.000000
01029959600,01,03,1.000000
01029959700,01,03,1.000000
01029959800,01,03,1.000000
01031010100,01,02,1.000000
01031010200,01,02,1.000000
01031010300,01,02,1.000000
01031010400,01,02,1.000000
01031010500,01,02,1.000000
01031010600,01,02,1.000000
01031010700,01,02,1.000000
01031010800,01,02,1.000000
01031010900,01,02,1.000000
01031011000,01,02,1.000000
01031011100,01,02,1.000000
01031011201,01,02,1.000000
01031011202,01,02,1.000000
01031011300,01,02,1.000000
01033020100,01,04,1.000000
01033020200,01,04,1.000000
01033020300,01,04,1.000000
01033020400,01,04,1.000000
01033020500,01,04,1.000000
01033020600,01,04,1.000000
01033020701,01,04,1.000000
01033020703,01,04,1.000000
01033020704,01,04,1.000000
01033020801,01,04,1.000000
01033020802,01,04,1.000000
01033020901,01,04,1.000000
01033020902,01,04,1.000000
01033021000,01,04,1.000000
01035960200,01,02,1.000000
01035960300,01,02,1.000000
01035960400,01,02,1.000000
01035960500,01,02,1.000000
01035960600,01,02,1.000000
01037961000,01,03,1.000000
01037961100,01,03,1.000000
01037961200,01,03,1.000000
01039961600,01,02,1.000000
01039961700,01,02,1.000000
01039961800,01,02,1.000000
01039961900,01,02,1.000000
01039962000,01,02,1.000000
01039962100,01,02,1.000000
01039962300,01,02,1.000000
01039962400,01,02,1.000000
01039962500,01,02,1.000000
01039962600,01,02,1.000000
01039962700,01,02,1.000000
01039962800,01,02,1.000000
01039962900,01,02,1.000000
01039963000,01,02,1.000000
01041963400,01,02,1.000000
01041963500,01,02,1.000000
01041963600,01,02,1.000000
01041963700,01,02,1.000000
01041963800,01,02,1.000000
01041963900,01,02,1.000000
01043964100,01,04,1.000000
01043964200,01,04,1.000000
01043964300,01,04,1.000000
01043964400,01,04,1.000000
01043964500,01,04,1.000000
01043964600,01,04,1.000000
01043964700,01,04,1.000000
01043964800,01,04,1.000000
01043964900,01,04,1.000000
01043965000,01,04,1.000000
01043965100,01,04,1.000000
01043965200,01,04,1.000000
01043965300,01,04,1.000000
01043965401,01,04,1.000000
01043965402,01,04,1.000000
01043965500,01,04,1.000000
01043965600,01,04,1.000000
01043965700,01,04,1.000000
01045020000,01,02,1.000000
01045020100,01,02,1.000000
01045020200,01,02,1.000000
01045020300,01,02,1.000000
01045020400,01,02,1.000000
01045020500,01,02,1.000000
01045020700,01,02,1.000000
01045020801,01,02,1.000000
01045020802,01,02,1.000000
01045021101,01,02,1.000000
01045021102,01,02,1.000000
01045021200,01,02,1.000000
01045021300,01,02,1.000000
01045021400,01,02,1.000000
01047956100,01,07,1.000000
01047956201,01,07,1.000000
01047956202,01,07,1.000000
01047956300,01,07,1.000000
01047956400,01,07,1.000000
01047956500,01,07,1.000000
01047956600,01,07,1.000000
01047956701,01,07,1.000000
01047956702,01,07,1.000000
01047956800,01,07,1.000000
01047956900,01,07,1.000000
01047957000,01,07,1.000000
01047957100,01,07,1.000000
01047957200,01,07,1.000000
01047957300,01,07,1.000000
01049960100,01,04,1.000000
01049960200,01,04,1.000000
